Type,Time(%),Time,Calls,Avg,Min,Max,Name
GPU activities,4.204319,0.182005,10001.0,18.198,18.074,21.615,"gpu_getOutputs(Neuron*, double*, int)"
GPU activities,3.088312,0.133693,30009.0,4.455,4.375,8.281,[CUDA memcpy DtoH]
GPU activities,1.590024,0.068832,30010.0,2.293,2.239,4.375,[CUDA memcpy HtoD]
GPU activities,0.015089,0.000653,50.0,13.064,12.865,15.73,"gpu_setDouble(double*, double)"
GPU activities,0.001196,0.000052,2.0,25.885,23.906,27.864,"gpu_getSumAndMaxMin(double*, double*, double*, double*, int)"
GPU activities,0.000918,0.00004,2.0,19.87,17.292,22.449,"gpu_setLearningRate(Neuron*, double, int)"
GPU activities,0.000675,0.000029,2.0,14.609,13.125,16.094,"gpu_setValuesInArray(double, double*)"
GPU activities,0.000669,0.000029,2.0,14.479,12.968,15.99,[CUDA memcpy DtoD]
API calls,39.540758,8.488996,90012.0,94.309,8.698,1283.562,cudaDeviceSynchronize
API calls,28.142913,6.041995,60021.0,100.664,35.886,1449.606,cudaMemcpy
API calls,25.798244,5.538619,120081.0,46.124,29.74,1220.697,cudaLaunchKernel
API calls,6.517489,1.399238,30081.0,46.515,15.626,358661.552,cudaMalloc
API calls,0.000507,0.000109,97.0,1.121,0.625,23.125,cuDeviceGetAttribute
API calls,0.000038,0.000008,1.0,8.177,8.177,8.177,cuDeviceTotalMem
API calls,0.000028,0.000006,3.0,1.979,1.25,2.708,cuDeviceGetCount
API calls,0.000013,0.000003,2.0,1.38,1.198,1.562,cuDeviceGet
API calls,0.000007,0.000002,1.0,1.51,1.51,1.51,cuDeviceGetName
API calls,0.000005,0.000001,1.0,0.99,0.99,0.99,cuDeviceGetUuid
